Aileron;Elevator;Rudder;Throttle;Roll;Pitch;Yaw;Altitude
0,000853822;0,00668546;0,002171564;0,8955;-2,6821742;2,3257949;195,49046;2655,3625
0,000853822;0,006685469;0,002171577;0,8955;-2,7033923;2,3257248;195,50285;2655,3962
0,000732385;0,005198047;0,002171577;0,89156252;-2,7243104;2,3256614;195,51726;2655,4299
0,000838296;0,006520448;0,002171577;0,89500779;-2,74524;2,3256578;195,53383;2655,4639
0,000747474;0,005407235;0,000624916;0,89206344;-2,765928;2,3257787;195,55249;2655,498
0,000787748;0,00593156;0,00123099;0,89338291;-2,7861986;2,3260341;195,57256;2655,5322
0,000845455;0,006597546;0,001040668;0,89523536;-2,8057411;2,3264842;195,59404;2655,5659
0,00085277;0,006674583;0,001281135;0,89546686;-2,8245149;2,3271744;195,6169;2655,5999
0,000853686;0,006684108;0,002064756;0,89549583;-2,8422973;2,328114;195,64073;2655,6335
0,000853805;0,006685293;0,00215829;0,89549947;-2,859164;2,3293135;195,66537;2655,6665
0,000853805;0,00668545;0,002169908;0,89549994;-2,8754444;2,3308036;195,69109;2655,7002
0,000853822;0,00668546;0,002171362;0,8955;-2,891165;2,3325944;195,71783;2655,7334
0,000749341;0,005432545;0,000624887;0,89212495;-2,9064083;2,3346713;195,7453;2655,7671
0,00078798;0,005934498;0,00123099;0,8933906;-2,921567;2,3370037;195,77324;2655,8008
0,000845489;0,006597866;0,002058968;0,89523631;-2,9361336;2,3395903;195,80147;2655,8345
0,00085277;0,006674622;0,002157581;0,89546704;-2,9499605;2,3424349;195,82985;2655,8677
0,000853686;0,006684108;0,002169819;0,89549583;-2,9632647;2,3455665;195,85869;2655,9016
0,000732368;0,005197833;0,000345788;0,89156199;-2,9762337;2,3489122;195,88744;2655,9353
0,000717638;0,004987301;9,73E-05;0,89107025;-2,9890935;2,3523951;195,91565;2655,9692
0,000783937;0,005883922;0,001169268;0,89325881;-3,0018446;2,3560071;195,94339;2656,0024
0,000844965;0,006592329;0,002051881;0,89521986;-3,0141361;2,3597934;195,9709;2656,0361
0,000852702;0,006673945;0,002156707;0,89546496;-3,0260668;2,3638413;195,99869;2656,071
0,000853669;0,00668403;0,002169718;0,89549559;-3,0374591;2,3680558;196,02611;2656,1062
0,000853805;0,006685284;0,002171337;0,89549947;-3,048094;2,3722894;196,05231;2656,1409
0,000853805;0,00668544;0,002171539;0,89549994;-3,0582221;2,3765774;196,07755;2656,1755
0,000853822;0,00668546;0,002171564;0,8955;-3,0677671;2,3808689;196,10139;2656,2097
0,000853822;0,006685469;0,002171577;0,8955;-3,0770786;2,3853059;196,12444;2656,2446
0,000853822;0,006685469;0,002171577;0,8955;-3,0859592;2,3897674;196,14595;2656,2791
0,000853822;0,006685469;0,002171577;0,8955;-3,0944262;2,3942215;196,16577;2656,313
0,000853822;0,006685469;0,002171577;0,8955;-3,1025734;2,3986645;196,1839;2656,3469
0,000853822;0,006685469;0,000624916;0,8955;-3,1103992;2,4030406;196,20013;2656,3804
0,000749341;0,005432545;0,000133141;0,89212495;-3,1182094;2,407383;196,2146;2656,4138
0,000822883;0,006349046;0,001688959;0,89451563;-3,1262674;2,4116035;196,22713;2656,4473
0,000849923;0,006644823;0,002112642;0,89537692;-3,1342022;2,4156835;196,23769;2656,481
0,00085333;0,006680412;0,002164227;0,89548457;-3,1419668;2,4195864;196,24625;2656,5139
0,000853754;0,006684833;0,002170654;0,89549804;-3,1496809;2,4233005;196,25281;2656,5476
0,000853805;0,006685391;0,002171463;0,89549971;-3,1572604;2,4267159;196,25719;2656,5806
0,000853822;0,00668546;0,002171564;0,89549994;-3,1649015;2,4298549;196,25943;2656,614
0,000853822;0,006685469;0,002171577;0,8955;-3,1725354;2,4326246;196,25948;2656,647
0,000853822;0,006685469;0,002171577;0,8955;-3,1802609;2,4350054;196,25731;2656,6799
0,000853822;0,006685469;0,002171577;0,8955;-3,1881189;2,4369571;196,25291;2656,7131
0,000853822;0,006685469;0,002171577;0,8955;-3,1960597;2,4384272;196,24637;2656,7454
0,000732385;0,005198047;0,000346042;0,89156252;-3,2044814;2,4393804;196,23758;2656,7778
0,000820689;0,006324045;0,001712505;0,8944453;-3,2135561;2,4397721;196,2265;2656,8103
0,000849652;0,006641903;0,002115456;0,8953681;-3,2229164;2,4395974;196,21312;2656,843
0,000853296;0,00668005;0,002164582;0,89548349;-3,2324214;2,4388325;196,19762;2656,8755
0,000853754;0,006684794;0,002170704;0,89549792;-3,2420394;2,4374771;196,18018;2656,9077
0,000853805;0,006685381;0,002171463;0,89549971;-3,2519152;2,4355118;196,16068;2656,9399
0,000853822;0,00668546;0,002171564;0,89549994;-3,262146;2,4328973;196,13904;2656,9719
0,000853822;0,006685469;0,002171577;0,8955;-3,2727618;2,4296191;196,11531;2657,0042
0,000853822;0,006685469;0,002171577;0,8955;-3,283772;2,4256773;196,08961;2657,0364
0,000853822;0,006685469;0,002171577;0,8955;-3,295136;2,421083;196,06212;2657,0684
0,000783656;0,005880535;0,00116514;0,89324999;-3,3068197;2,4158871;196,03314;2657,1003
0,000723939;0,005078261;0,000204465;0,89128125;-3,3194251;2,4099867;196,00227;2657,1316
0,000837201;0,00650841;0,001944916;0,89497268;-3,3328679;2,4033327;195,96931;2657,1636
0,000851736;0,006663746;0,002143562;0,89543408;-3,3464282;2,3961639;195,93539;2657,1953
0,00085355;0,006682755;0,002168074;0,89549172;-3,3603721;2,3883686;195,89998;2657,2266
0,000853788;0,006685127;0,002171134;0,89549893;-3,3745284;2,3800662;195,8636;2657,2573
0,000853805;0,00668542;0,002171514;0,89549983;-3,3891461;2,3711526;195,82579;2657,2883
0,000853822;0,007414333;0,002171564;0,8955;-3,4041224;2,3617065;195,78691;2657,3191
0,000853822;0,007865509;0,002171577;0,8955;-3,4191167;2,3517685;195,74709;2657,3501
0,000853822;0,008544971;0,002171577;0,8955;-3,4340224;2,3413517;195,70636;2657,3801
0,000853822;0,008693387;0,002171577;0,8955;-3,448756;2,3305051;195,66489;2657,4106
0,000783656;0,008712761;0,002171577;0,89324999;-3,4633985;2,3192482;195,62276;2657,4409
0,000827277;0,011487523;0,002171577;0,89465624;-3,4777911;2,3075845;195,57999;2657,4709
0,000850482;0,015080951;0,002171577;0,8953945;-3,4909728;2,2955832;195,53671;2657,5007
0,000853398;0,017780574;0,002171577;0,89548677;-3,5016997;2,283319;195,49309;2657,53
0,000853771;0,02398894;0,002171577;0,89549834;-3,5088286;2,2706738;195,44856;2657,5598
0,000853805;0,030599162;0,002171577;0,89549977;-3,5111027;2,2575746;195,40282;2657,5903
0,000853822;0,032505091;0,002171577;0,89549994;-3,5073857;2,2445219;195,35748;2657,6196
0,000749341;0,032746948;0,000624916;0,89212495;-3,4987199;2,2314427;195,31227;2657,6489
0,000719736;0,030835666;0,000133141;0,89114058;-3,4861495;2,2181108;195,26643;2657,678
0,00071607;0,0291843;7,05E-05;0,89101756;-3,4717138;2,204736;195,22083;2657,7073
0,000836156;0,032321665;0,001930557;0,89493966;-3,4557507;2,1913793;195,17563;2657,7356
0,0008516;0,025827415;0,002141811;0,89542991;-3,4392202;2,1778719;195,13036;2657,7637
0,000853533;0,022114949;0,002167859;0,89549124;-3,4243915;2,1643622;195,08562;2657,7917
0,000853788;0,021671506;0,002171109;0,89549887;-3,4116786;2,1507766;195,04124;2657,8201
0,000853805;0,023259684;0,002171514;0,89549983;-3,4005873;2,136977;194,99681;2657,8479
0,000853822;0,024740472;0,002171564;0,8955;-3,3900676;2,1230743;194,95273;2657,876
0,000853822;0,024928737;0,002171577;0,8955;-3,3798807;2,109283;194,90991;2657,9036
0,000853822;0,024952341;0,002171577;0,8955;-3,369941;2,0954576;194,86819;2657,9312
0,000732385;0,028436515;0,000346042;0,89156252;-3,3595979;2,0816653;194,82794;2657,958
0,000820689;0,048840556;0,001712505;0,8944453;-3,345844;2,0676756;194,78853;2657,9851
0,000849652;0,081019066;0,002115456;0,8953681;-3,3198478;2,0539284;194,75081;2658,0122
0,000853296;0,10975887;0,002164582;0,89548349;-3,2730403;2,0405486;194,71466;2658,0388
0,000853754;0,12935811;0,002170704;0,89549792;-3,1982565;2,0277069;194,68001;2658,0652
0,000853805;0,14452524;0,002171463;0,89549971;-3,0941229;2,0154469;194,64671;2658,0916
0,000853822;0,15261853;0,002171564;0,89549994;-2,963316;2,0038569;194,6149;2658,1174
0,000853822;0,15364102;0,002171577;0,8955;-2,8105593;1,9929321;194,58463;2658,1431
0,000853822;0,14266564;0,002171577;0,8955;-2,6408362;1,9825538;194,55571;2658,1682
0,000853822;0,12859446;0,002171577;0,8955;-2,4615705;1,9726262;194,52826;2658,1934
0,000853822;0,11894234;0,002171577;0,8955;-2,2804344;1,963046;194,50233;2658,219
0,000853822;0,11214802;0,001426229;0,8955;-2,1018884;1,9538028;194,47816;2658,2439
0,000853822;0,11130887;0,002081612;0,8955;-1,9216696;1,9446272;194,45518;2658,2695
0,000853822;0,12311967;0,002160379;0,8955;-1,7445487;1,9359773;194,43451;2658,2947
0,000853822;0,13522337;0,000623308;0,89212495;-1,5651547;1,9278417;194,41591;2658,3198
0,000783656;0,13515827;0,001230795;0,89114058;-1,3785737;1,9201956;194,39906;2658,3445
0,000792327;0,13599966;0,002058955;0,89326757;-1,1852963;1,9129682;194,38402;2658,3694
0,000846047;0,13866547;0,002157581;0,89522094;-0,98899883;1,9063326;194,37108;2658,3943
0,000852838;0,13899998;0,002169819;0,89546514;-0,78897941;1,9002659;194,36017;2658,4189
0,000853686;0,13904175;0,002171349;0,89549565;-0,5869289;1,894789;194,35129;2658,4431
0,000749325;0,13393797;0,002171552;0,89212441;-0,38201261;1,8898264;194,34433;2658,467
0,000822866;0,13755053;0,002171564;0,89451557;-0,17415199;1,8853121;194,33931;2658,4915
0,000849923;0,13886024;0,002171577;0,89537692;0,032449733;1,8813947;194,3363;2658,5154
